periodo;valor_homens;ano_homens;trimestre_homens;valor_mulheres;ano_mulheres;trimestre_mulheres
2012-01-01;9.6;2012;1;9.6;2012;1
2012-04-01;8.3;2012;2;8.3;2012;2
2012-07-01;9.4;2012;3;9.4;2012;3
2012-10-01;9.2;2012;4;9.2;2012;4
2013-01-01;10.7;2013;1;10.7;2013;1
2013-04-01;9.7;2013;2;9.7;2013;2
2013-07-01;8.5;2013;3;8.5;2013;3
2013-10-01;7.4;2013;4;7.4;2013;4
2014-01-01;8.8;2014;1;8.8;2014;1
2014-04-01;8.0;2014;2;8.0;2014;2
2014-07-01;8.5;2014;3;8.5;2014;3
2014-10-01;7.7;2014;4;7.7;2014;4
2015-01-01;8.2;2015;1;8.2;2015;1
2015-04-01;9.2;2015;2;9.2;2015;2
2015-07-01;11.3;2015;3;11.3;2015;3
2015-10-01;11.1;2015;4;11.1;2015;4
2016-01-01;13.4;2016;1;13.4;2016;1
2016-04-01;14.2;2016;2;14.2;2016;2
2016-07-01;15.5;2016;3;15.5;2016;3
2016-10-01;15.9;2016;4;15.9;2016;4
2017-01-01;17.3;2017;1;17.3;2017;1
2017-04-01;19.0;2017;2;19.0;2017;2
2017-07-01;18.1;2017;3;18.1;2017;3
2017-10-01;17.0;2017;4;17.0;2017;4
2018-01-01;17.9;2018;1;17.9;2018;1
2018-04-01;17.1;2018;2;17.1;2018;2
2018-07-01;17.0;2018;3;17.0;2018;3
2018-10-01;15.6;2018;4;15.6;2018;4
2019-01-01;16.3;2019;1;16.3;2019;1
2019-04-01;16.1;2019;2;16.1;2019;2
2019-07-01;16.0;2019;3;16.0;2019;3
2019-10-01;14.2;2019;4;14.2;2019;4
2020-01-01;14.8;2020;1;14.8;2020;1
2020-04-01;0.0;2020;2;0.0;2020;2
2020-07-01;0.0;2020;3;0.0;2020;3
2020-10-01;0.0;2020;4;0.0;2020;4
2021-01-01;0.0;2021;1;0.0;2021;1
2021-04-01;0.0;2021;2;0.0;2021;2
2021-07-01;0.0;2021;3;0.0;2021;3
2021-10-01;0.0;2021;4;0.0;2021;4
2022-01-01;0.0;2022;1;0.0;2022;1
2022-04-01;13.6;2022;2;13.6;2022;2
2022-07-01;14.0;2022;3;14.0;2022;3
2022-10-01;12.3;2022;4;12.3;2022;4
2023-01-01;14.1;2023;1;14.1;2023;1
2023-04-01;14.2;2023;2;14.2;2023;2
2023-07-01;13.3;2023;3;13.3;2023;3
2023-10-01;12.0;2023;4;12.0;2023;4
2024-01-01;12.4;2024;1;12.4;2024;1
2024-04-01;11.6;2024;2;11.6;2024;2
2024-07-01;10.6;2024;3;10.6;2024;3
2024-10-01;10.3;2024;4;10.3;2024;4
2025-01-01;11.6;2025;1;11.6;2025;1
2025-04-01;10.4;2025;2;10.4;2025;2
2025-07-01;10.0;2025;3;10.0;2025;3
2025-10-01;8.8;2025;4;8.8;2025;4
